
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             760 |           Short |           1.811  |        16563.84 |        16558.06 |       Stop loss | 10.747153125001317
      000000002 |             798 |             799 |            Long |           1.832  |        16545.98 |        16541.27 |       Stop loss | -3.022799999996001
      000000003 |             832 |             835 |            Long |           1.827  |        16544.36 |        16546.07 |       Stop loss | 3.2798651129993304
      000000004 |             887 |             892 |            Long |           1.833  |         16545.9 |         16549.2 |       Stop loss | 6.314501699997429
      000000005 |             937 |             947 |            Long |           1.845  |        16543.33 |        16546.19 |       Stop loss | 10.56249400499324
      000000006 |             996 |            1003 |           Short |            1.86  |        16575.43 |        16565.68 |       Stop loss | 21.806258700003166
      000000007 |            1047 |            1048 |           Short |           1.898  |        16588.44 |        16591.98 |       Stop loss | -3.1506799999997237
      000000008 |            1178 |            1180 |           Short |           1.889  |        16618.82 |        16621.26 |       Stop loss | -2.459187093997123
      000000009 |            1346 |            1348 |            Long |           1.887  |         16595.3 |        16594.06 |       Stop loss | -0.07489880400397306
      000000010 |            1393 |            1395 |           Short |           1.884  |        16620.06 |        16621.97 |       Stop loss | 0.8255763360035052
      000000011 |            1442 |            1443 |           Short |           1.886  |        16620.13 |        16623.01 |       Stop loss | -3.1307599999997255
      000000012 |            1521 |            1522 |            Long |           1.888  |        16554.84 |        16549.65 |       Stop loss | -3.134079999999725
      000000013 |            1656 |            1657 |           Short |           1.877  |        16598.98 |        16602.15 |       Stop loss | -3.1158199999997267
      000000014 |            1694 |            1695 |           Short |           1.866  |        16645.92 |        16651.02 |       Stop loss | -3.097560000006517
      000000015 |            1780 |            1781 |           Short |            1.86  |        16646.46 |        16648.37 |       Stop loss | -3.0875999999997297
      000000016 |            1879 |            1880 |           Short |           1.846  |        16725.11 |        16745.27 |       Stop loss | -3.0828199999967767
      000000017 |            2264 |            2267 |            Long |           1.844  |        16689.78 |         16699.4 |       Stop loss | 19.546021980003513
      000000018 |            2307 |            2309 |            Long |           1.879  |        16691.33 |         16690.0 |       Stop loss | -2.1593186150038237
      000000019 |            2450 |            2455 |           Short |           1.871  |        16731.74 |         16718.0 |       Stop loss | 32.19750389400061
      000000020 |            2549 |            2551 |            Long |           1.931  |         16711.8 |        16707.47 |       Stop loss | -0.8521560929992411
      000000021 |            2749 |            2752 |           Short |           1.927  |        16733.36 |        16735.92 |       Stop loss | -3.2180899999966353
      000000022 |            2829 |            2830 |            Long |           1.924  |         16711.4 |        16701.36 |       Stop loss | -3.2130800000036395
      000000023 |            2871 |            2872 |            Long |           1.921  |        16680.98 |        16676.32 |       Stop loss | -3.2080699999966455
      000000024 |            2934 |            2935 |            Long |           1.914  |         16691.1 |        16689.31 |       Stop loss | -3.196379999996658
      000000025 |            3219 |            3220 |           Short |           1.907  |        16705.03 |        16709.98 |       Stop loss | -3.1846900000036076
      000000026 |            3387 |            3390 |            Long |           1.901  |        16710.91 |        16717.03 |       Stop loss | 13.208237346996277
      000000027 |            3504 |            3506 |           Short |           1.922  |        16736.51 |        16738.28 |       Stop loss | -3.209740000003636
      000000028 |            3618 |            3620 |            Long |           1.918  |        16715.19 |        16710.38 |       Stop loss | -1.9402200300003751
      000000029 |            3775 |            3776 |            Long |           1.917  |         16699.3 |        16691.99 |       Stop loss | -3.2013899999966524
      000000030 |            3915 |            3918 |            Long |           1.918  |        16637.12 |        16631.06 |       Stop loss | 0.2994113079972085
