
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             766 |           Short |           1.811  |         16564.0 |         16547.3 |     Take profit |           29.99
      000000002 |             766 |             780 |           Short |           1.861  |         16552.2 |         16553.8 |       Stop loss | -2.894245809997439
      000000003 |             810 |             817 |           Short |           1.852  |         16540.5 |         16535.7 |       Stop loss | 10.828088399996734
      000000004 |             846 |             847 |            Long |           1.865  |         16545.6 |         16543.3 |       Stop loss | -3.0772499999959293
      000000005 |             877 |             889 |           Short |           1.854  |         16545.4 |         16540.0 |       Stop loss | 11.024291880003025
      000000006 |             934 |             942 |           Short |            1.87  |         16535.8 |         16538.0 |       Stop loss | -2.9051759000000676
      000000007 |             996 |             997 |            Long |           1.855  |         16570.8 |         16568.9 |       Stop loss | -3.0738834000015958
      000000008 |            1028 |            1035 |           Short |           1.845  |         16561.1 |         16561.9 |       Stop loss | -1.2103384499977619
      000000009 |            1067 |            1071 |           Short |           1.836  |         16573.1 |         16574.9 |       Stop loss | -3.042821159997591
      000000010 |            1132 |            1136 |           Short |           1.823  |         16583.8 |         16580.7 |       Stop loss | 6.092684760002114
      000000011 |            1166 |            1167 |           Short |           1.827  |         16601.1 |         16606.2 |       Stop loss | -3.032819999999734
      000000012 |            1202 |            1204 |           Short |           1.816  |         16599.4 |         16598.1 |       Stop loss | 3.3421845600012747
      000000013 |            1234 |            1235 |            Long |           1.815  |         16616.4 |         16614.2 |       Stop loss | -3.012899999999736
      000000014 |            1264 |            1265 |            Long |           1.807  |         16592.1 |         16590.5 |       Stop loss | -2.8175105399985294
      000000015 |            1307 |            1311 |           Short |           1.796  |         16594.8 |         16595.3 |       Stop loss | -0.4657746400009346
      000000016 |            1357 |            1361 |           Short |           1.791  |         16585.9 |         16588.7 |       Stop loss | -2.9705346899983778
      000000017 |            1404 |            1406 |           Short |           1.778  |         16607.8 |         16602.7 |       Stop loss | 9.850013320004248
      000000018 |            1438 |            1439 |           Short |            1.79  |         16609.6 |         16607.5 |       Stop loss | 3.829561799999137
      000000019 |            1486 |            1497 |           Short |           1.794  |         16584.5 |         16575.0 |       Stop loss | 17.83722173999884
      000000020 |            1554 |            1562 |           Short |           1.824  |         16561.6 |         16550.9 |       Stop loss | 22.700135999994586
      000000021 |            1600 |            1605 |           Short |           1.859  |         16567.6 |         16569.2 |       Stop loss | -2.893998249999513
      000000022 |            1638 |            1641 |            Long |           1.846  |         16580.7 |         16579.1 |       Stop loss | -2.8762156800046506
      000000023 |            1676 |            1677 |           Short |           1.826  |         16668.0 |         16671.1 |       Stop loss | -1.0347759399993666
      000000024 |            1708 |            1710 |           Short |           1.823  |         16629.2 |         16630.9 |       Stop loss | -3.0261799999997345
      000000025 |            1753 |            1758 |           Short |           1.812  |         16624.7 |         16619.0 |       Stop loss | 13.116017040002713
      000000026 |            1816 |            1818 |           Short |           1.828  |         16645.0 |         16643.3 |       Stop loss | 3.1731155200021752
      000000027 |            1864 |            1868 |           Short |            1.83  |         16631.9 |         16633.0 |       Stop loss | -1.0304363999931594
      000000028 |            1932 |            1933 |           Short |           1.811  |         16735.0 |         16736.8 |       Stop loss | -3.0243699999968374
      000000029 |            1968 |            1970 |           Short |             1.8  |         16736.2 |         16735.6 |       Stop loss | 3.108096000004298
      000000030 |            2012 |            2014 |           Short |           1.803  |         16714.0 |         16710.8 |       Stop loss | 9.789045929999157
      000000031 |            2046 |            2047 |           Short |           1.814  |         16720.3 |         16722.4 |       Stop loss | -3.0293800000034317
      000000032 |            2101 |            2109 |           Short |           1.803  |         16723.1 |         16716.2 |       Stop loss | 13.213447770001777
      000000033 |            2148 |            2150 |            Long |           1.821  |         16730.5 |         16730.4 |       Stop loss | 3.1441568100027832
      000000034 |            2181 |            2183 |           Short |           1.821  |         16727.5 |         16728.1 |       Stop loss | 0.7784046599981302
      000000035 |            2219 |            2221 |           Short |           1.819  |         16713.4 |         16715.0 |       Stop loss | -2.6763310800010185
      000000036 |            2255 |            2259 |            Long |            1.81  |         16701.8 |         16701.0 |       Stop loss | -1.3941886999950293
      000000037 |            2313 |            2316 |           Short |           1.803  |         16689.5 |         16676.7 |       Stop loss | 24.75985977000587
      000000038 |            2351 |            2354 |            Long |           1.842  |         16694.7 |         16693.1 |       Stop loss | -2.8909821600035577
      000000039 |            2392 |            2394 |           Short |           1.828  |         16723.2 |         16719.7 |       Stop loss | 6.63236787999807
      000000040 |            2432 |            2438 |           Short |           1.834  |         16726.3 |         16729.1 |       Stop loss | -2.517348400004441
      000000041 |            2468 |            2473 |           Short |           1.826  |         16710.0 |         16704.9 |       Stop loss | 10.097268720004148
      000000042 |            2506 |            2511 |           Short |           1.838  |         16709.0 |         16708.7 |       Stop loss | 2.6272555799944968
      000000043 |            2546 |            2547 |           Short |           1.838  |         16704.1 |         16706.9 |       Stop loss | -2.8863952000009525
      000000044 |            2594 |            2597 |           Short |           1.826  |         16717.4 |         16721.3 |       Stop loss | -3.0494199999968115
      000000045 |            2627 |            2628 |           Short |           1.815  |         16720.8 |         16723.3 |       Stop loss | -3.0310500000034333
      000000046 |            2668 |            2673 |            Long |           1.804  |         16723.7 |         16722.4 |       Stop loss | -1.2131358800024172
      000000047 |            2715 |            2721 |           Short |           1.796  |         16721.3 |         16721.1 |       Stop loss | 1.1280675999965606
      000000048 |            2760 |            2761 |           Short |            1.79  |         16752.0 |         16755.0 |       Stop loss | -0.49235739999989164
      000000049 |            2791 |            2792 |           Short |           1.787  |         16712.8 |         16706.3 |       Stop loss | 14.527773899995859
      000000050 |            2825 |            2826 |           Short |            1.81  |         16698.4 |         16702.7 |       Stop loss | -2.841392299994077
      000000051 |            2870 |            2872 |           Short |           1.801  |         16680.1 |         16670.2 |       Stop loss | 18.790193199999077
      000000052 |            2906 |            2910 |           Short |            1.83  |         16676.5 |         16678.9 |       Stop loss | -2.8687812000020494
      000000053 |            2965 |            2966 |           Short |           1.822  |         16650.2 |         16650.0 |       Stop loss | 0.9751344000037862
      000000054 |            3014 |            3016 |            Long |           1.815  |         16678.2 |         16678.1 |       Stop loss | 0.23957999999598542
      000000055 |            3053 |            3061 |           Short |           1.811  |         16674.0 |         16665.2 |       Stop loss | 17.084448809995504
      000000056 |            3124 |            3131 |           Short |           1.835  |         16685.2 |         16686.7 |       Stop loss | -0.3089589499989233
      000000057 |            3187 |            3191 |           Short |           1.829  |         16680.1 |         16682.7 |       Stop loss | -3.0507902900022525
      000000058 |            3237 |            3238 |           Short |           1.815  |         16713.1 |         16714.5 |       Stop loss | -1.7628006000046843
      000000059 |            3292 |            3295 |            Long |           1.805  |         16721.7 |         16720.1 |       Stop loss | -2.8377849000051354
      000000060 |            3330 |            3331 |           Short |           1.796  |         16708.3 |         16704.7 |       Stop loss | 6.518941199995839
      000000061 |            3366 |            3376 |           Short |           1.801  |         16723.7 |         16706.9 |     Take profit |          30.113
      000000062 |            3376 |            3377 |            Long |           1.851  |         16706.9 |         16709.9 |       Stop loss | 5.976545819993764
      000000063 |            3408 |            3410 |           Short |           1.857  |         16702.2 |         16697.5 |       Stop loss | 9.34154565000375
      000000064 |            3445 |            3451 |           Short |           1.865  |         16728.2 |         16721.2 |       Stop loss | 13.853387850002328
      000000065 |            3486 |            3487 |           Short |           1.884  |         16732.9 |         16734.8 |       Stop loss | -2.9640595199941306
      000000066 |            3519 |            3525 |           Short |           1.873  |         16731.6 |         16733.9 |       Stop loss | -2.946509950000316
      000000067 |            3565 |            3569 |           Short |           1.864  |         16717.4 |         16719.1 |       Stop loss | -3.1128799999967454
      000000068 |            3619 |            3621 |           Short |           1.854  |         16708.3 |         16706.4 |       Stop loss | 5.616952560001213
      000000069 |            3654 |            3655 |            Long |           1.859  |         16698.0 |         16695.9 |       Stop loss | -3.1045299999967537
      000000070 |            3684 |            3689 |           Short |           1.845  |         16725.0 |         16708.0 |     Take profit |          30.848
      000000071 |            3690 |            3695 |            Long |           1.897  |         16711.6 |         16711.5 |       Stop loss | -0.13529403999830175
      000000072 |            3725 |            3727 |           Short |            1.89  |         16719.9 |         16721.5 |       Stop loss | -2.971042199994299
      000000073 |            3764 |            3765 |           Short |           1.875  |         16753.5 |         16756.6 |       Stop loss | -2.9537625000057233
      000000074 |            3810 |            3811 |           Short |           1.877  |         16637.4 |         16633.7 |       Stop loss | 7.013973600004512
      000000075 |            3846 |            3847 |           Short |           1.881  |         16660.4 |         16661.7 |       Stop loss | -0.6882767099939847
      000000076 |            3876 |            3877 |           Short |           1.877  |         16637.0 |         16638.9 |       Stop loss | -3.1158199999997267
      000000077 |            3907 |            3909 |            Long |           1.867  |         16630.5 |         16633.3 |       Stop loss | 6.415833479995658
      000000078 |            3944 |            3946 |           Short |           1.874  |         16618.0 |         16609.6 |       Stop loss | 17.501848199999326
      000000079 |            3994 |            3995 |            Long |           1.897  |         16641.0 |         16641.9 |       Stop loss | 2.3439521699994765
      000000080 |            4029 |            4033 |           Short |           1.897  |         16633.4 |         16623.5 |       Stop loss | 22.836142909999445
      000000081 |            4089 |            4092 |            Long |           1.932  |         16639.2 |         16645.2 |       Stop loss | 18.807904079997023
      000000082 |            4141 |            4143 |           Short |           1.958  |         16652.9 |         16654.8 |       Stop loss | -3.2606378200016115
      000000083 |            4181 |            4183 |           Short |           1.946  |         16659.0 |         16660.8 |       Stop loss | -3.047221940003255
      000000084 |            4213 |            4215 |           Short |           1.935  |         16653.8 |         16646.5 |       Stop loss | 14.58126990000148
      000000085 |            4245 |            4247 |           Short |           1.956  |         16650.9 |         16653.6 |       Stop loss | -3.0612964799934854
      000000086 |            4283 |            4287 |           Short |           1.941  |         16676.1 |         16669.8 |       Stop loss | 15.592751759995398
      000000087 |            4358 |            4359 |           Short |           1.966  |         16653.0 |         16652.9 |       Stop loss | 0.8550330599998924
